featureid	UNKNOWN	p__Euryarchaeota|c__Methanobacteria	p__Euryarchaeota|c__Thermoplasmata	p__Actinobacteria|c__Actinobacteria	p__Actinobacteria|c__Coriobacteriia	p__Bacteroidetes|c__Bacteroidia	p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	p__Firmicutes|c__Bacilli	p__Firmicutes|c__Clostridia	p__Firmicutes|c__Erysipelotrichia	p__Firmicutes|c__Firmicutes_unclassified	p__Firmicutes|c__Negativicutes	p__Firmicutes|c__Tissierellia	p__Fusobacteria|c__Fusobacteriia	p__Lentisphaerae|c__Lentisphaeria	p__Proteobacteria|c__Betaproteobacteria	p__Proteobacteria|c__Deltaproteobacteria	p__Proteobacteria|c__Epsilonproteobacteria	p__Proteobacteria|c__Gammaproteobacteria	p__Proteobacteria|c__Proteobacteria_unclassified	p__Spirochaetes|c__Spirochaetia	p__Synergistetes|c__Synergistia	p__Verrucomicrobia|c__Verrucomicrobiae	p__Ascomycota|c__Saccharomycetes	p__Eukaryota_unclassified|c__Eukaryota_unclassified
1-3-7-trimethylurate	1.2257152946332872	1.9047561009494023	0.22405572037385488	-0.4943587794281002	0.23385906504163492	-1.0004811270896763	2.978623578955793	2.5210694927723702	-0.5489088420668997	3.632593681444839	2.0707582540495397	-0.3640718548178635	5.115361659483692	3.099810438757852	4.06014147984737	-0.10517744340115752	1.9388408073515597	2.180361956056418	0.6271090837670047	2.517195120746006	2.3082742884808862	6.295441126475987	-0.18906173439151475	2.4862141907554727	2.0056702480221773
1-methylguanine	-1.3057958328203303	-1.0458630116404584	-1.6728351105504358	-0.8816414542930373	-1.1522385640948727	-1.267177864322795	-0.9819344763466851	-0.5376304413450788	-0.9060944034729825	-0.7473790215274656	-0.8690630787040172	-0.9983717083238418	-1.037984657555933	-1.90938671676773	-0.6761142409938747	-1.2701215089717874	-0.9395678708845425	-1.5911382095968323	-0.37853318378891754	-1.1236644892226035	-1.2448920342715972	-1.1562047244773854	-1.013209910233687	-0.22929502594479478	-1.5072292448987854
1-methylguanosine	-3.659525278214405	-1.9817619766275547	0.18293594753374284	-3.6873779694795696	-3.295058305609146	-3.8556237897463443	-3.112967219308405	-3.5565018474297387	-3.8234421053126644	-3.4149858633335244	-3.710296471741778	-3.486493198136193	-3.726600891264934	-1.0430482278839124	-3.539165378013812	-3.9289529338650273	-4.663314441417833	-0.3378307747811973	-3.3406423170178083	-3.583532858493495	-1.1950118034226866	-3.504988403791911	-3.8441675006918383	-1.4247673608821998	-1.545483214935615
1-methylhistamine	-2.1698227177324605	-1.460009743967387	-1.3426475496270986	-2.085206171608458	-2.0025386167686534	-2.06618730075518	-1.7020920638420072	-2.1709084035623656	-2.1969649974720076	-2.2077760178214128	-2.239180067574417	-2.0838811746739108	-2.289276133770284	-1.9353604612694975	-1.5419280594420117	-2.0089562908540626	-2.3467984058432956	-1.823887309596104	-2.229934211724176	-2.0712964165294245	-1.2239238450231777	-2.2648451705233636	-2.1905057592810517	-0.7380423967390639	-1.7627961481710912
1-methylnicotinamide	-1.6499219546704418	-1.8205169607206202	-1.3932795253229953	-1.8296610029091742	-1.722854500295071	-1.7181186383005365	-1.8833069344960713	-1.9130911880367263	-1.7942875159133065	-1.8123953983826384	-1.786420325232188	-1.7665752694760517	-1.7187119841423604	-1.2342592972827306	-2.1028834025990157	-1.7494908588669102	-1.8285013536703767	-1.3061016507858478	-1.9171662452781124	-1.7464690395025002	-1.751037680737337	-1.6645150304813985	-1.762265742407123	-2.31883171426504	-1.494762750400806
1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate	-3.4560953547683604	-2.132858337748731	-1.4068312094584294	-3.202139929057036	-3.112240837034342	-3.4639446260170157	-2.7570136147935993	-3.0164650812694127	-3.3442235796134296	-3.0811156540826046	-3.297281115283097	-3.170213103165219	-3.4183252737163707	-2.4392105693653034	-2.6942355563475173	-3.46269749700819	-3.8289925192607734	-1.891452366350133	-2.8757651346132516	-3.2673337751776224	-1.7352392647993726	-3.3626270541963788	-3.4039873709250084	-1.023516036627636	-2.356304153779771
10-heptadecenoate	0.6087652691162471	-0.2064837667117374	-0.4062773164872693	0.3680102112931138	0.38085737114261053	0.5953126092266867	0.11115799788842784	0.18950215661755898	0.45965814436580565	0.27732194880661787	0.4241586864440352	0.38242329128892216	0.5239493235126336	0.23246716214229668	-0.026072952895161983	0.5842211087015631	0.7169941774254704	-0.12999660827080195	0.09436371458252857	0.45075912450070543	-0.3828122913889369	0.520282991574061	0.5146132741795745	-1.0649262951333416	0.06592473664652321
10-nonadecenoate	-0.32122691205765586	-0.010088795321063104	-0.021724435494094668	-0.25118031135393554	-0.23966791519361416	-0.2702789692406977	-0.10167688783234619	-0.26586255648328283	-0.29994835304864065	-0.2995709014322254	-0.31854982522006425	-0.26103632446564784	-0.35543932492908414	-0.2874744849472526	-0.007619645581165457	-0.2461771555850737	-0.36273791172166714	-0.2201501153701435	-0.2791545322569623	-0.2669549027392364	0.07002019078160027	-0.3565982622624393	-0.3054046081940237	0.35674008372347865	-0.17827498442797207
12.13-diHOME	0.4974998268083266	0.8869313681273832	0.325727823925106	0.6978821483205933	0.6199101683699356	0.6611447327937654	0.9279283733876889	0.6647973279001329	0.6097028020264408	0.539916801808499	0.5483830937381506	0.621251356775543	0.45850898299890464	-0.0464910808501795	1.2728865866212864	0.7370917965083489	0.6506554262706112	-0.022547599512074523	0.5917155359652203	0.6263673488033747	0.8892703681696323	0.40032677555510077	0.5944402050092231	1.7002432465261155	0.3537669404650914
13-cis-retinoic acid	-6.111699381886639	-2.696238968722561	0.8624364202619008	-5.632201449261369	-5.245092338952823	-6.541916734114485	-4.809963451113356	-4.807453234347391	-5.878765153436951	-4.779885768974814	-5.55376771930921	-5.37738568970296	-5.783410413476507	-1.6396753676915283	-5.36974476705688	-6.733497418125386	-7.576032718244911	0.2080847510813677	-4.09980226050134	-5.755484093633459	-1.4843181009892454	-5.4988318717319284	-6.076202388935797	-0.8465106890560596	-2.238276760158705
