featureid	UNKNOWN	o__Methanobacteriales|f__Methanobacteriaceae	o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	o__Actinomycetales|f__Actinomycetaceae	o__Bifidobacteriales|f__Bifidobacteriaceae	o__Micrococcales|f__Micrococcaceae	o__Propionibacteriales|f__Propionibacteriaceae	o__Coriobacteriales|f__Atopobiaceae	o__Coriobacteriales|f__Coriobacteriaceae	o__Eggerthellales|f__Eggerthellaceae	o__Bacteroidales|f__Bacteroidaceae	o__Bacteroidales|f__Barnesiellaceae	o__Bacteroidales|f__Dysgonamonadaceae	o__Bacteroidales|f__Odoribacteraceae	o__Bacteroidales|f__Porphyromonadaceae	o__Bacteroidales|f__Prevotellaceae	o__Bacteroidales|f__Rikenellaceae	o__Bacteroidales|f__Tannerellaceae	o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified	o__Bacillales|f__Bacillales_unclassified	o__Bacillales|f__Staphylococcaceae	o__Lactobacillales|f__Carnobacteriaceae	o__Lactobacillales|f__Enterococcaceae	o__Lactobacillales|f__Lactobacillaceae	o__Lactobacillales|f__Leuconostocaceae	o__Lactobacillales|f__Streptococcaceae	o__Clostridiales|f__Christensenellaceae	o__Clostridiales|f__Clostridiaceae	o__Clostridiales|f__Clostridiales_unclassified	o__Clostridiales|f__Eubacteriaceae	o__Clostridiales|f__Lachnospiraceae	o__Clostridiales|f__Oscillospiraceae	o__Clostridiales|f__Peptococcaceae	o__Clostridiales|f__Peptostreptococcaceae	o__Clostridiales|f__Ruminococcaceae	o__Erysipelotrichales|f__Erysipelotrichaceae	o__Firmicutes_unclassified|f__Firmicutes_unclassified	o__Acidaminococcales|f__Acidaminococcaceae	o__Selenomonadales|f__Selenomonadaceae	o__Veillonellales|f__Veillonellaceae	o__Tissierellales|f__Peptoniphilaceae	o__Tissierellia_unclassified|f__Tissierellia_unclassified	o__Fusobacteriales|f__Fusobacteriaceae	o__Victivallales|f__Victivallaceae	o__Burkholderiales|f__Oxalobacteraceae	o__Burkholderiales|f__Sutterellaceae	o__Neisseriales|f__Neisseriaceae	o__Desulfovibrionales|f__Desulfovibrionaceae	o__Campylobacterales|f__Campylobacteraceae	o__Enterobacterales|f__Enterobacteriaceae	o__Enterobacterales|f__Hafniaceae	o__Enterobacterales|f__Morganellaceae	o__Pasteurellales|f__Pasteurellaceae	o__Pseudomonadales|f__Pseudomonadaceae	o__Proteobacteria_unclassified|f__Proteobacteria_unclassified	o__Synergistales|f__Synergistaceae	o__Verrucomicrobiales|f__Akkermansiaceae	o__Saccharomycetales|f__Saccharomycetaceae	o__Eukaryota_unclassified|f__Eukaryota_unclassified
1-3-7-trimethylurate	1.5884473651518427	2.1108362184826084	0.5905855248291229	-0.8944075325250349	2.733382427581031	-0.7601826435792111	2.658860373159965	1.497291189756239	2.924614216411428	-0.44643419317357935	0.6120295849277717	0.9253473369518472	-0.3446621226729097	-0.0035391764936934435	3.4318658248428004	-0.43964570961907046	-0.10950657762114323	3.033984361691934	0.3104082291409621	1.8574023561332795	0.4418046840121632	4.264952650214409	4.012068695972445	2.5863862623662945	0.640607876306882	1.9041002831772718	1.7288670519376625	2.7938553939606043	0.760202497498658	1.9254817856331707	0.863558327969196	1.6023016126300373	1.5415257814889285	-0.6404691554014188	0.46692603102619246	3.5664661029944127	3.785659814410041	2.7659914573041045	-0.44341086642201216	1.9196132287171652	4.158275330002043	2.784514162948967	-0.8886766894517185	2.0240701347843153	-1.40699581910537	0.7843511786896754	-0.2293247597339021	3.068853812556665	4.309266083867038	3.164973304777972	-0.1283809312166225	1.643014115103872	1.5056539830759579	3.5418547822767747	0.15686051307873602	2.627702674274806	-0.2473710899309441	2.35591631271763	3.633298549486984
1-methylguanine	-1.1410435523695959	-0.9317817160013591	0.1049243400825507	0.5878021966428708	-1.1548499698049888	0.5242566717755116	-0.31169143098421426	0.41339416132458884	-1.3773832444095215	0.2322652972646262	-1.4082998776192035	-1.4560435430520853	0.17260312920007154	-1.319229592227381	-0.5091745506503447	-1.514891026167631	-1.4038747243444403	-1.4269786287319604	1.7040593935576966	0.8766976999642766	0.7973539073889948	-1.1100230311731591	-1.2059706555502743	-1.939454127798394	-0.8480599282048956	-1.2654594020531673	-0.159037892111751	-1.1181938291166107	-1.1323834952445777	-1.2915171019661569	-1.4455333219757076	-0.7282320346926159	0.5838047941193774	0.7786525512212692	-1.459813282364008	-1.0683473202348677	-1.3690718894924756	-1.2233590325924455	0.02745814978740785	-1.4209445971455734	-1.5678616457144994	-0.313513612083244	0.40617683159486495	0.4066798740460289	0.015604131599082027	-1.1645844417895557	0.17966208801175343	-1.2049784496015934	-2.436935873473156	-1.4552332570050779	0.7514914486555883	-0.7966805884675072	-1.283298731416765	-2.0810920861833226	-0.2520328655449874	-0.9812193934010569	-0.8451127280567265	-0.947121102845065	-1.364099642501774
1-methylguanosine	-2.909197977394748	-2.5162464735774273	-0.5413988965843156	0.9030165293580712	-2.7303950455115604	0.2738288960912515	-1.1320330388435051	0.3772129291417905	-3.2149811348191544	0.12891272848254065	-3.2442549210209215	-3.2697337544520204	-0.41624128912342157	-2.976651379907591	-1.6768416045683967	-3.4226196913966467	-3.194499347482551	-3.2729143957378297	2.3171410385972644	0.8340247571736386	0.7912220994555077	-2.2524721843280444	-2.8175188227836685	-4.1734201812587575	-2.2551130844573835	-2.6447859627293866	-1.0948862593617077	-2.6215990262133824	-2.830097475161632	-3.0904921639497864	-3.288971183646316	-1.9869310603226384	0.3183262535407063	0.8716983783780745	-3.316577879730742	-2.465228657489535	-3.0017654892992645	-2.911888855690896	-0.522080690850024	-3.23595055612748	-3.4672446870979297	-0.8351775539145967	0.68971719893815	0.19511968476584052	-0.6824188306890107	-2.5658442090383637	-0.055562569109749216	-2.8327957738296194	-4.8768087168442085	-3.283454540341553	0.7671748194977285	-2.062165010079571	-2.9117014032216995	-4.324642288166797	-1.1196832538500177	-2.2786541867701633	-2.509647644373708	-2.2064546207905043	-3.142193328406858
1-methylhistamine	-1.0144865853864153	-0.7083366854496682	1.548817314034498	2.7199547333971044	-1.71430233098447	2.3240631977152284	1.0387437884978938	2.457461365531837	-1.762278365015216	1.8803600124922548	-1.640496989957537	-1.506855100922171	1.5753131555193551	-1.2954883068131453	-0.3221707839125134	-1.7404070663506406	-1.3928223097730912	-1.6686773303000222	4.790912900433889	2.8236497194386505	2.9717734760895254	-0.534226357229211	-1.3038581478621154	-2.9754857116324254	-0.923314208562266	-0.7911052375449967	0.7607944804768201	-1.240056066218787	-1.1233519052153467	-1.8413762442882076	-1.6967915861737008	-0.5161017579898075	2.5929648541500088	2.603190630687856	-1.6815681280560122	-0.6831722680578225	-1.2415851514744083	-1.5335548218366863	1.5493618559016717	-1.8293401234351014	-1.916725663900392	0.4922537778391254	2.681897862248095	1.7247061324031616	1.2122552194999252	-0.9966408828843286	1.9340232396429688	-1.1489071116854634	-3.344668024220275	-1.8941360557116744	2.9589447457032736	-0.22231300377970897	-1.3248528375732687	-3.209354298835554	0.46511662468280257	-0.2891677127106309	-0.45349529032943564	-0.7623797214220431	-1.76706947011413
1-methylnicotinamide	-1.3464212091803602	-1.0022891091764525	0.7423342770152331	1.8101467180851873	-1.296280804973808	1.4504158417611799	0.15382619781806017	1.4292362456081549	-1.6834411193587537	1.1630092574120008	-1.7150714384128811	-1.7550681871475478	0.8495687388191069	-1.5128241517858614	-0.2940067785794245	-1.8781222311579941	-1.6791698060355313	-1.7418259135698348	3.3354040786648764	1.9814351838867326	1.9112386083713502	-0.9917343164880945	-1.3573338685528356	-2.575648226095732	-0.828203247956209	-1.2972527124800235	0.2661476718582245	-1.2010759450112376	-1.3070017168033905	-1.5679694363767778	-1.7641838113898114	-0.6015232272356659	1.5237736063688592	1.922574052735858	-1.7868235941633637	-1.0706318060021816	-1.5557897487611192	-1.4235895081743637	0.6977503950547803	-1.7264342458152795	-1.9409346527688296	0.27410348814891083	1.581321421006605	1.3101250971264733	0.5998182088171817	-1.1980150593120058	1.0405417925716436	-1.3584863387400037	-3.268743473071601	-1.774795327012876	1.8673868704716372	-0.6736955434386831	-1.4574902000868317	-2.7541824097441863	0.178400767236485	-0.9067734229785227	-0.9306235606070532	-0.8665907983318188	-1.6393622034895152
1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate	-3.204481029114171	-2.739229951635894	-1.3386213187348779	1.843522184077715	-1.206717300729128	-0.4852962055604463	-1.4368976291847018	0.432642230680645	-2.448843655262795	0.959852250937737	-2.599883815205043	-2.6715523954953904	-1.0881857060139293	-2.19139752482958	-1.2301516625016564	-2.801871846236806	-2.721385253181143	-2.618901066614208	0.19208686086236704	-0.2096620642905107	-0.21518945685235247	-0.6962049358458939	-1.9816295191117206	-2.6403111275403526	-1.523459484525779	-1.506627819620263	-1.651630038647548	-1.5264299331572238	-2.682499088639676	-2.1458356324519823	-2.5520127842885767	-1.3727327540198278	-0.9718300940190494	0.8352903550446169	-2.638235877926702	-1.794109830515462	-2.1514825115241414	-2.037367227455949	-0.8233610927959105	-2.223652551009514	-2.5173364387194948	0.8881452032888797	1.7663259923067067	0.5863412471120508	-1.0942702565544002	-1.334708605764984	0.21183308015563584	-2.284624423513836	-3.0905791778738054	-2.19823025622267	-0.07393011373497824	-1.8201510064921183	-2.0129963660147405	-2.3325988287211787	-0.8507907449043771	-1.861368473190959	-3.522475717760408	-0.9869739241753059	-2.1414013514342543
10-heptadecenoate	0.1995384486127325	0.07435645604657681	-0.6250717663504605	-1.2414649918236336	0.1623807980223848	-0.9018742929859397	-0.4941312842126804	-1.0359480586465522	0.3026034492216354	-0.9432900535399638	0.29379135775937293	0.267329600460013	-0.655280749031935	0.16754546387539543	-0.18081615262408057	0.3419755170899912	0.24687648579625265	0.29677650766529906	-1.584266942290454	-1.0602245182112322	-1.0929350389775383	-0.18652386053319958	0.13809011012646444	0.6230444932483397	0.004954455918797174	-0.033099196389729135	-0.4005517282726545	0.07808620887945228	0.17429536388866762	0.2932508177370776	0.30209428247204506	-0.11374557910433647	-0.9234748809878159	-1.1082026258991542	0.308242337667622	-0.03380688787550579	0.1406938068718886	0.20378688256492028	-0.6762950045391452	0.2982249077235015	0.3447123554737175	-0.6007382075562973	-1.2242414782971278	-0.8718128135435368	-0.562336322260399	0.0027843390108847066	-0.8794429449217649	0.1335295743167948	0.756436044458523	0.3085283878620553	-1.1030889334210907	-0.14016540924543497	0.15261322808176891	0.6464632049201917	-0.40681031011705826	-0.12195774458624697	0.09853893345879933	-0.09495609259317472	0.27011904110844354
10-nonadecenoate	-1.0350259335197276	-1.1928831428513278	-2.541119150696604	-2.917957364128804	-0.3439801594842571	-2.961560832736314	-2.1921361638783123	-2.9210226633168626	-0.447336989700728	-2.466054734395403	-0.5323131862333446	-0.6202706058609171	-2.530840431329617	-0.7042317922886143	-1.2945964277929187	-0.4801243128522221	-0.7009785710756191	-0.5220549757521131	-4.557763751303883	-3.2875048065809747	-3.3672543278267772	-1.0255872548781637	-0.697269320963934	0.3531217012110264	-0.908558517041857	-0.9436095504847699	-2.061209049448596	-0.6856272819200981	-0.8988173878046396	-0.36632121755222324	-0.4873812005189918	-1.1605630459233474	-3.2055510533934743	-2.9972188917061424	-0.505079989867889	-1.0758795885442187	-0.7380561071583087	-0.5552132777106862	-2.4633827625970235	-0.3685575307350719	-0.3408402455484971	-1.5534093948597647	-2.8827174058225653	-2.4443793776406446	-2.283243067845459	-0.8017962025247499	-2.5897407754521127	-0.8301814323528665	0.579578775259721	-0.3244508156465531	-3.334098007881567	-1.3934041796858534	-0.671716644311575	0.5524408586135126	-1.7584831898943722	-1.3381019968423082	-1.4555685706965493	-0.9338274065109422	-0.40864742319689284
12.13-diHOME	0.07536248566154713	-0.11445810576638182	-1.4368115550818747	-2.29034606144221	0.3668279723012695	-1.90424539603505	-1.1829035581936918	-2.068216063139624	0.44598019586521653	-1.7700246516840097	0.38352034213700037	0.2988709223983468	-1.4573363129861039	0.15987833580651184	-0.3940416721522704	0.44582352282226667	0.24264864561461152	0.3926084137031376	-3.294315057459979	-2.185558919565228	-2.2830510906583306	-0.3866018791573733	0.15596211983615405	1.1223359286754693	-0.047041687713904046	-0.19147114127269993	-0.9745977834018362	0.10276723323391446	0.11114019525967755	0.48933522080363834	0.40884825751881904	-0.2918354354182151	-2.0347423228976993	-2.1263332393642815	0.4043027231077403	-0.21539675708724992	0.10665733723940063	0.3011676835358865	-1.4791021965434388	0.4688412984616679	0.5146343960854605	-1.0022316964326698	-2.2876380358238526	-1.6325073965678003	-1.2540380665762287	-0.05968822544892516	-1.7616530278073967	0.08389114784649765	1.3027739206040878	0.4984865906045144	-2.2893811350801743	-0.45188184121244634	0.1669558936954536	1.2224854347373015	-0.8551664311440973	-0.4370712998293813	-0.1999809037694345	-0.19957169644626882	0.428572337412946
13-cis-retinoic acid	-3.5788006305602957	-3.224502828856258	-0.7985326338790649	0.3744534193501625	-4.24859553945544	0.054207545507627075	-1.4349485561730573	0.09935338492669321	-4.362614614610109	-0.5052996492912945	-4.2673944655243226	-4.169923665396133	-0.7507776870148302	-3.9334622699664843	-2.726827327624436	-4.399905611369049	-4.045055942317788	-4.298908182210456	2.7494985953598667	0.6502377709851375	0.7433041073401472	-3.20211788646765	-3.8915756591260475	-5.683176318185611	-3.405576170409438	-3.4809595159720885	-1.6043983149007912	-3.806950252484783	-3.683766400200734	-4.400652541011834	-4.33503363148842	-2.99560907670591	0.3312095597262499	0.3843553945759006	-4.326334308928905	-3.2874535020229563	-3.907800334695844	-4.100860426724842	-0.8468653249189255	-4.447684154498108	-4.583602850842523	-1.973021361789928	0.2593721849589651	-0.551399007036947	-1.1426124066663887	-3.6201183414325246	-0.4638930771588998	-3.7480230215384682	-6.224500087359291	-4.520326001991572	0.7071569790271356	-2.757831745466194	-3.9462562645078387	-5.96088946788753	-1.9275888424203602	-2.8998904681835374	-2.9428005400102895	-3.321777263971791	-4.367831539623307
