	feature_id	axis	embed_type	values
0	UNKNOWN	0	microbe	-1.222556710243225
1	c__Methanobacteria|o__Methanobacteriales	0	microbe	-1.3180724382400513
2	c__Thermoplasmata|o__Methanomassiliicoccales	0	microbe	-1.0075595378875732
3	c__Actinobacteria|o__Actinomycetales	0	microbe	-1.191719651222229
4	c__Actinobacteria|o__Bifidobacteriales	0	microbe	-1.1205646991729736
5	c__Actinobacteria|o__Corynebacteriales	0	microbe	0.9503049254417419
6	c__Actinobacteria|o__Micrococcales	0	microbe	-0.11992570012807846
7	c__Actinobacteria|o__Propionibacteriales	0	microbe	-0.13389496505260468
8	c__Coriobacteriia|o__Coriobacteriales	0	microbe	-0.8236733078956604
9	c__Coriobacteriia|o__Eggerthellales	0	microbe	-0.9639515280723572
10	c__Bacteroidia|o__Bacteroidales	0	microbe	-1.0959900617599487
11	c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	0	microbe	0.7241635322570801
12	c__Bacilli|o__Bacillales	0	microbe	-0.8714089393615723
13	c__Bacilli|o__Lactobacillales	0	microbe	-1.320778727531433
14	c__Clostridia|o__Clostridiales	0	microbe	-1.1639682054519653
15	c__Erysipelotrichia|o__Erysipelotrichales	0	microbe	-1.6689138412475586
16	c__Firmicutes_unclassified|o__Firmicutes_unclassified	0	microbe	-0.8184715509414673
17	c__Negativicutes|o__Acidaminococcales	0	microbe	-0.8674795627593994
18	c__Negativicutes|o__Selenomonadales	0	microbe	0.7684133648872375
19	c__Negativicutes|o__Veillonellales	0	microbe	-1.0296542644500732
20	c__Tissierellia|o__Tissierellales	0	microbe	-1.1468697786331177
21	c__Tissierellia|o__Tissierellia_unclassified	0	microbe	-1.8809720277786255
22	c__Fusobacteriia|o__Fusobacteriales	0	microbe	-0.9209248423576355
23	c__Lentisphaeria|o__Victivallales	0	microbe	0.4042660892009735
24	c__Betaproteobacteria|o__Burkholderiales	0	microbe	-1.108204960823059
25	c__Betaproteobacteria|o__Neisseriales	0	microbe	-1.7447903156280518
26	c__Deltaproteobacteria|o__Desulfovibrionales	0	microbe	-1.3343071937561035
27	c__Epsilonproteobacteria|o__Campylobacterales	0	microbe	1.4404839277267456
28	c__Gammaproteobacteria|o__Enterobacterales	0	microbe	-1.1414613723754883
29	c__Gammaproteobacteria|o__Pasteurellales	0	microbe	-1.1242034435272217
30	c__Gammaproteobacteria|o__Pseudomonadales	0	microbe	0.9720470309257507
31	c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	0	microbe	-0.133754700422287
32	c__Synergistia|o__Synergistales	0	microbe	-0.14543868601322174
33	c__Verrucomicrobiae|o__Verrucomicrobiales	0	microbe	-1.0984822511672974
34	c__Saccharomycetes|o__Saccharomycetales	0	microbe	1.5538244247436523
35	c__Eukaryota_unclassified|o__Eukaryota_unclassified	0	microbe	0.01819605380296707
36	UNKNOWN	1	microbe	-0.7754587531089783
37	c__Methanobacteria|o__Methanobacteriales	1	microbe	0.03154977411031723
38	c__Thermoplasmata|o__Methanomassiliicoccales	1	microbe	-1.3145781755447388
39	c__Actinobacteria|o__Actinomycetales	1	microbe	-0.232474222779274
40	c__Actinobacteria|o__Bifidobacteriales	1	microbe	-0.6256304979324341
41	c__Actinobacteria|o__Corynebacteriales	1	microbe	0.3880665600299835
42	c__Actinobacteria|o__Micrococcales	1	microbe	1.2918293476104736
43	c__Actinobacteria|o__Propionibacteriales	1	microbe	0.9032741785049438
44	c__Coriobacteriia|o__Coriobacteriales	1	microbe	-0.7747406363487244
45	c__Coriobacteriia|o__Eggerthellales	1	microbe	-2.2106969356536865
46	c__Bacteroidia|o__Bacteroidales	1	microbe	-0.9042074084281921
47	c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	1	microbe	0.18959732353687286
48	c__Bacilli|o__Bacillales	1	microbe	-1.0495660305023193
49	c__Bacilli|o__Lactobacillales	1	microbe	-0.3917313516139984
50	c__Clostridia|o__Clostridiales	1	microbe	-0.8909069895744324
51	c__Erysipelotrichia|o__Erysipelotrichales	1	microbe	-0.8209296464920044
52	c__Firmicutes_unclassified|o__Firmicutes_unclassified	1	microbe	-0.8333002328872681
53	c__Negativicutes|o__Acidaminococcales	1	microbe	-0.9390568733215332
54	c__Negativicutes|o__Selenomonadales	1	microbe	-0.5626937747001648
55	c__Negativicutes|o__Veillonellales	1	microbe	-0.7914270162582397
56	c__Tissierellia|o__Tissierellales	1	microbe	-0.9309765100479126
57	c__Tissierellia|o__Tissierellia_unclassified	1	microbe	0.614640474319458
58	c__Fusobacteriia|o__Fusobacteriales	1	microbe	0.40256497263908386
59	c__Lentisphaeria|o__Victivallales	1	microbe	0.6282389760017395
60	c__Betaproteobacteria|o__Burkholderiales	1	microbe	-0.7784795761108398
61	c__Betaproteobacteria|o__Neisseriales	1	microbe	0.053649306297302246
62	c__Deltaproteobacteria|o__Desulfovibrionales	1	microbe	-0.15588223934173584
63	c__Epsilonproteobacteria|o__Campylobacterales	1	microbe	-0.21069923043251038
64	c__Gammaproteobacteria|o__Enterobacterales	1	microbe	-0.6175473928451538
65	c__Gammaproteobacteria|o__Pasteurellales	1	microbe	-0.38951367139816284
66	c__Gammaproteobacteria|o__Pseudomonadales	1	microbe	-0.07569004595279694
67	c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	1	microbe	0.8038728833198547
68	c__Synergistia|o__Synergistales	1	microbe	-0.2781478464603424
69	c__Verrucomicrobiae|o__Verrucomicrobiales	1	microbe	-0.8229126930236816
70	c__Saccharomycetes|o__Saccharomycetales	1	microbe	1.1746996641159058
71	c__Eukaryota_unclassified|o__Eukaryota_unclassified	1	microbe	0.15473927557468414
72	UNKNOWN	2	microbe	0.23459960520267487
73	c__Methanobacteria|o__Methanobacteriales	2	microbe	1.1307536363601685
74	c__Thermoplasmata|o__Methanomassiliicoccales	2	microbe	-0.3071078658103943
