featureid	UNKNOWN	c__Methanobacteria|o__Methanobacteriales	c__Thermoplasmata|o__Methanomassiliicoccales	c__Actinobacteria|o__Actinomycetales	c__Actinobacteria|o__Bifidobacteriales	c__Actinobacteria|o__Corynebacteriales	c__Actinobacteria|o__Micrococcales	c__Actinobacteria|o__Propionibacteriales	c__Coriobacteriia|o__Coriobacteriales	c__Coriobacteriia|o__Eggerthellales	c__Bacteroidia|o__Bacteroidales	c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	c__Bacilli|o__Bacillales	c__Bacilli|o__Lactobacillales	c__Clostridia|o__Clostridiales	c__Erysipelotrichia|o__Erysipelotrichales	c__Firmicutes_unclassified|o__Firmicutes_unclassified	c__Negativicutes|o__Acidaminococcales	c__Negativicutes|o__Selenomonadales	c__Negativicutes|o__Veillonellales	c__Tissierellia|o__Tissierellales	c__Tissierellia|o__Tissierellia_unclassified	c__Fusobacteriia|o__Fusobacteriales	c__Lentisphaeria|o__Victivallales	c__Betaproteobacteria|o__Burkholderiales	c__Betaproteobacteria|o__Neisseriales	c__Deltaproteobacteria|o__Desulfovibrionales	c__Epsilonproteobacteria|o__Campylobacterales	c__Gammaproteobacteria|o__Enterobacterales	c__Gammaproteobacteria|o__Pasteurellales	c__Gammaproteobacteria|o__Pseudomonadales	c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	c__Synergistia|o__Synergistales	c__Verrucomicrobiae|o__Verrucomicrobiales	c__Saccharomycetes|o__Saccharomycetales	c__Eukaryota_unclassified|o__Eukaryota_unclassified
1-3-7-trimethylurate	1.194187342717861	4.255450787292895	3.5089724696456512	3.6369225012721507	1.793686052708315	-0.884584676477218	1.7218592173135927	1.3404688841068133	3.106398681706087	4.861753817448958	-0.2396488287760954	0.2851978725909863	1.3243486468473198	1.7456966177358035	0.12380756033103754	3.2148202846415	1.7528487194045093	2.170580802768269	0.3229318233088677	1.2587991661298799	3.686382720367806	2.538535873797542	1.6781310440343389	0.9481119998079788	4.730860447425793	2.4211917000874412	3.9631098264846347	0.030460739004901323	1.7436879919830042	4.234320988441785	1.2556913300875794	0.6599378716722264	1.5299907630925051	0.7452832677847272	-0.6093608375247536	0.15428712928112734
1-methylguanine	-1.1468406728841773	-0.6502837331317703	-1.4715566084809	-0.8020665648639569	-1.0398938944343235	-0.2776015432380884	0.1683906175140657	-0.050810957220257746	-1.1011350922612544	-2.003422137269779	-1.198247157797203	-0.3834756821392542	-1.3177896902226887	-0.9213178121801304	-1.1972123100192393	-1.209184085327455	-1.1324647956598588	-1.2382637636003313	-0.8353115619086139	-1.1346919004682579	-1.2372478074617885	-0.33619259290598835	-0.40778771007554715	-0.1540703131247081	-1.1359048273624426	-0.699964955652479	-0.7858367407255411	-0.5805387744991358	-1.041485100958885	-0.9100156883110229	-0.5163783069903667	-0.061845220311479876	-0.7524383518652977	-1.1482177144744565	0.289050713281935	-0.5094681939142996
1-methylguanosine	-3.8157904758600103	-3.859583182880068	-3.5522047118188587	-3.72623447711365	-3.6815519556841263	1.270133246536051	-0.04887698277263519	-0.5856005657218073	-3.3343040599410583	-4.180296412630855	-3.8784837879195173	0.14281858693463145	-2.7688183530724824	-3.8035255974771296	-3.985837800786929	-4.7768443088045	-3.3784316859597574	-2.924133280234967	-0.23643888627748322	-3.56423633044458	-3.807695563335512	-4.625079675390673	-2.5601141180077334	-0.04645314242909637	-3.7715376771729465	-4.125316242556968	-3.652491936519474	1.4746670678176628	-3.6353418539727165	-3.4100837513594078	0.2930282503899131	-1.4375204577604819	-1.5791733614328207	-3.881539026323174	2.2014381594988084	-0.4239801435193823
1-methylhistamine	-2.154604101303872	-2.4216917854518583	-1.8619969595290113	-2.2715654230892475	-2.127772653693837	-0.07460088901479123	-1.0388841176198729	-1.1488234051409367	-1.8992215120948583	-1.856920708400832	-2.1225701271531925	-0.514612725498331	-1.5943811822387413	-2.2751175679480653	-2.1810333132862856	-2.604830185773623	-1.8982449301661932	-1.689928339233182	-0.44744023395760923	-2.017844381502647	-2.097880034242525	-2.9857991257840344	-1.9332017792752025	-0.7671468501989753	-2.122049875045213	-2.5996461254698473	-2.285370324625501	0.2542694814388592	-2.1143035596108937	-2.087558339435634	-0.34046118724236574	-1.4681700868132388	-1.2186364820697106	-2.14856364020613	0.1723866329052789	-0.8437015393032786
1-methylnicotinamide	-1.716039002905959	-2.050931802086282	-1.2622317170343047	-1.8404775724035258	-1.6625930771835178	3.564275086470349	2.0750469429525853	1.4626114310442884	-1.3190300253543144	-1.8341067135362552	-1.8536173223063075	2.1679541533766087	-0.3314019298154771	-1.7857889476706434	-1.96374301350307	-2.759529019750514	-1.3640330114430752	-0.6102439927429746	1.8989833979690998	-1.4901897492452298	-1.6943986870752554	-2.9890429526986826	-0.6111014509711565	1.952017251588033	-1.7364177323850933	-2.117981276019457	-1.6524780934094565	3.7392290930291203	-1.581614451100895	-1.3595578356740772	2.309597125361778	0.24974430345228815	0.5177462941361046	-1.8903791760434505	4.122619311938202	1.9029911046634311
1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate	-3.2532357879085034	-3.803585526139943	-2.731556440902012	-3.5834050171059695	-3.3195621126418775	1.1212569778674744	-0.017094701326002326	-0.6773860015085365	-3.1181388599046955	-3.257319098746202	-3.511201167350821	-0.38690024984955285	-1.7487785390355763	-3.3529858211239487	-3.5913355817277197	-4.150491893002166	-3.1650571519040778	-2.135181496914379	-0.5681128975578541	-3.1410271977414665	-3.253099305176742	-4.6289772346028	-2.445280172509705	-0.48150086030073314	-3.382391148028426	-3.5004684515343123	-3.2332729116936356	1.049795887420558	-3.1996938819982907	-2.99369445100196	-0.36536895376285705	-2.18965295654288	-1.5495726003050116	-3.5767482252189255	1.0609275290929125	-0.060304201881737324
10-heptadecenoate	0.23458205098764928	0.6233530689981919	-0.0023483605406786623	0.5546635096550321	0.39134320591377203	-0.4750986196259074	-0.5659395684443491	-0.2061337876205982	0.5008308529141732	0.23791636092882662	0.5017757812403583	0.2717024063427267	-0.4738755980475058	0.26870146799116057	0.49370973056758394	0.40459247939582976	0.5311944862397231	-0.20338770261596828	0.31365823314359165	0.3327861072953122	0.27130339461762043	0.7495673160400069	0.15972714966752877	0.11046857169076785	0.4110945458105393	0.04901490369292283	0.20806948810868509	-0.08113783320123258	0.2955754771380321	0.20434597066511717	0.4375276998893016	0.7685223497525293	0.17003615821475448	0.5519445757828485	0.22993392632882081	-0.5840164372605371
10-nonadecenoate	-0.17502277623656237	-0.6379690376171459	0.07914704688573426	-0.544858425033953	-0.34070371742052985	-0.3228385859668069	-0.3062902730404846	-0.4603778039127817	-0.4355185077096029	0.11764652484117732	-0.3480870162887155	-0.7636594656744682	0.3289923532792831	-0.27764600349055435	-0.3352762469308639	-0.21380777993315636	-0.4392275475992522	0.10897128412961798	-0.6171597784624742	-0.2729204536793923	-0.18337967673424727	-0.7680745827353168	-0.46255128501585574	-0.7053957687910983	-0.32844928730806	-0.16240935392569877	-0.2972191738033496	-0.539056334492738	-0.2717891098706793	-0.2740513623947711	-0.8602895622758397	-1.1178599430111553	-0.43467142331873787	-0.40574532947312325	-1.112558566878472	-0.03472767048726219
12.13-diHOME	0.7918327822893416	0.8554902806992972	0.724542636595074	0.7914925629016856	0.7420367489372646	2.0383881859810766	2.4839117971959612	2.0092942588056184	0.593416719205274	0.09786694539452778	0.5272369563531056	1.3301664290899162	1.2435087117859287	0.9428828496661295	0.5354433666996383	0.6045636646827601	0.545579376865662	1.07799952607383	0.9357761445717817	0.7152494494408814	0.6831459926324022	1.0127973155876613	1.4338967327930952	1.6522195232417058	0.6435162169548709	1.3095648320169686	1.0972113223591613	1.4565354601775056	0.8216021895693424	0.9973011992171452	1.0790647749825804	1.184304691276899	1.1372897678643805	0.5230007379003421	1.8841629899863732	1.961898496290645
13-cis-retinoic acid	-3.806188230053207	-3.2641318873200182	-3.993050360643122	-3.3919056115768336	-3.6588073689406944	2.639909615371294	2.6222451355003122	1.3724412491908684	-3.632577010787147	-5.8087190058118265	-4.252745278106806	0.7399533929534732	-2.5652360677403503	-3.38000843112746	-4.324162405918422	-4.856708733798006	-3.7645936117352736	-2.8207370002455168	-0.5070204640176065	-3.6953772078592872	-4.018896312247314	-3.363557111248355	-1.269034752398822	1.2329041172666362	-3.93926130952934	-2.9413285975126775	-2.921850132051391	1.7575930325626459	-3.5213919259205304	-2.980154266391362	0.40791128721885195	-0.3766367707574225	-1.2169533765741656	-4.2083060226847175	3.724611557805732	0.9878581431102261
13-docosenoate	-0.5683930239780997	-1.0573494888846708	-0.10494120981895971	-0.7946747245444858	-0.5259214714330367	0.4075643072746563	-1.163560427456102	-0.8136072271155406	-0.13199941434852125	0.5844466483260851	-0.28760108018710234	0.5632307359698969	-0.29739483101604947	-0.8936977800292984	-0.3599259154224487	-0.888124273663002	-0.07849216185820374	-0.28234331378359334	1.1006731130130192	-0.3552244475917439	-0.39220532196422964	-1.8953521755945615	-1.0817683265159443	-0.05640916989769251	-0.41390789781627113	-1.628927007332654	-1.0793940990176019	1.3528553078179977	-0.5794385934228186	-0.742389436602191	1.0060983492836886	-0.44648505890292545	0.05393696480240506	-0.3279181130096993	0.6584315239133068	-0.3107220623409358
17-methylstearate	-3.083397882711299	-3.3302729912660505	-2.763291423702076	-3.1963027016262147	-3.0737896484643077	1.2042483271772038	0.29556842648637405	-0.3375910966872506	-2.8866669399915943	-3.411907149407063	-3.2945454909858523	-0.10290937857030258	-1.8773814000043312	-3.0831036454582224	-3.370317103337236	-3.912175601499901	-2.938015897967789	-2.1556750729743204	-0.4377469525562844	-2.954886355424907	-3.1086117451236572	-3.9592276233568673	-2.0578813893829966	-0.13365419191835914	-3.1628937539826483	-3.1776000139231004	-2.92868962868212	1.097514166334662	-2.980677254270366	-2.7526996265980825	-0.10108280647292722	-1.5702345374807372	-1.3504400263166174	-3.326127691257711	1.500693419513777	-0.009918705577974446
2'-O-methyladenosine	-1.8391571445194717	-1.8580730895891389	-1.7792779121121116	-1.8557197300957928	-1.856275049992883	0.6505112118242483	0.5944022900767201	0.04713337992323585	-1.8757707705934785	-2.447604704377887	-2.083114900056634	-0.290275340083161	-1.1121564497415117	-1.7313523969088704	-2.107833694587342	-2.279909995539673	-1.9269375863104037	-1.3129351047161482	-0.691591772100007	-1.8331925247779313	-1.920431267933584	-1.9864622637498148	-0.9971072598468296	-0.09292965007496323	-1.9569694372067987	-1.5331871497110288	-1.5681891899834124	0.23952117553899288	-1.7727246517209827	-1.5683354261830855	-0.4489687228697201	-0.9262885256511602	-0.9232026981337091	-2.093885499994628	0.7207363382442479	0.11062990083540672
