featureid	UNKNOWN	k__Archaea|p__Euryarchaeota	k__Bacteria|p__Actinobacteria	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Candidatus_Melainabacteria	k__Bacteria|p__Firmicutes	k__Bacteria|p__Fusobacteria	k__Bacteria|p__Lentisphaerae	k__Bacteria|p__Proteobacteria	k__Bacteria|p__Spirochaetes	k__Bacteria|p__Synergistetes	k__Bacteria|p__Verrucomicrobia	k__Eukaryota|p__Ascomycota	k__Eukaryota|p__Eukaryota_unclassified
1-3-7-trimethylurate	2.966692397724905	4.116477264803651	-0.6212999718827985	-1.01456895711205	2.9726026210098366	-0.9356758400715807	1.3403342090566717	0.05276886081686107	-0.989121164154864	2.8355652822405872	5.163180276536876	0.23983841776360168	2.6177969788888142	0.38467640350695603
1-methylguanine	-1.179227348894202	0.39793297189332666	-0.45078416489096873	-1.2573498144273956	-0.6220255646444572	-1.0820600473483517	-0.5181981295927678	0.649278750387299	-0.2788992122353747	0.3431973764865006	-1.1014545862146505	-1.352071980034339	-0.8294316752507789	-0.8650201641882682
1-methylguanosine	-3.0967244129659197	-1.652860561085208	-3.120421418661369	-3.9848968674287972	-3.254719295741663	-3.7834872825467927	-3.2976841239408428	-1.450261458668941	-2.9354322030694395	-1.4787886275941489	-3.376069963264074	-4.1952379225771415	-1.1692716055528911	-4.050103283378507
1-methylhistamine	-2.495299849568554	-2.7668707520551754	-2.3710244491465664	-2.0327603076430156	-2.247675951116231	-2.1208622900777905	-2.133892846414388	-2.5999517081668313	-2.4280556296618325	-2.74271260688349	-2.377092167425012	-1.9698324298480636	-3.0128545681414614	-1.3932956734187791
1-methylnicotinamide	-1.7908084445727064	-1.3114366222537672	-1.8661647465595788	-1.7273017546073222	-1.6033204515958497	-1.779420897251101	-1.405006953044696	-0.7026190518651654	-1.854473750815866	-0.9744814355132236	-1.883197053318166	-1.793608462923395	-0.6952309981563096	-0.21199346131698743
1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate	-2.9092754808645584	-1.6814092786583021	-3.088533493433699	-3.4339129586102883	-2.9031746614869727	-3.370778140023907	-2.756683300590228	-1.0000391033828755	-2.9754540457246392	-1.23868621729261	-3.1907493498945936	-3.6245154149841228	-0.6242989526617513	-2.07828636480288
10-heptadecenoate	0.35809424385423183	-0.4888681022828294	-0.034228259098277425	0.6202422123812397	0.20571688908885744	0.4640560601598208	0.26701473268610765	-0.3372885861337742	-0.15180750187506942	-0.32222224597874316	0.3242032572430542	0.6743842018869599	0.34743728936558194	1.2063522793444696
10-nonadecenoate	-0.2579324919720247	0.17703520944286755	0.03344695738881032	-0.32521486742195305	-0.12822578505642568	-0.23931823126381302	-0.15790671585082827	0.06944259562835	0.09645620119112641	0.048372543501850274	-0.20987750109738368	-0.34412208755557794	-0.45719193230351385	-0.7119950782580085
12.13-diHOME	0.544327434584218	0.3121043132900274	0.4289035317204857	0.6664613155432526	0.5330649080898135	0.6074216007355394	0.5806004577448067	0.43335387863603647	0.39048121532887203	0.39890655308625256	0.5309746494881722	0.6796911897271527	0.6127165058653525	1.0365613394472155
13-cis-retinoic acid	-5.557375604526989	-3.381277960995927	-6.184584825693095	-6.372063895502829	-5.502743112206894	-6.376941177171594	-5.06057777230114	-1.6030739998814034	-6.030870470943238	-2.2224209778868698	-6.163790766225487	-6.74250234244463	-0.4896933232761618	-2.4260076103619377
13-docosenoate	-0.09583963979209331	-0.13557227760826418	-0.046936429702622684	-0.3112098580365885	-0.2594397016997494	-0.2362159742179314	-0.3980925317467625	-0.49385526373902056	-0.016980125889964892	-0.3219168944325492	-0.09824237360685206	-0.3127890189210043	-0.4344369544426967	-1.3497563224143598
17-methylstearate	-3.4847250164005463	-1.2218707215923619	-3.0501566400439506	-3.193880042297713	-2.4806847344038756	-3.222046506991854	-1.8788389221551836	0.4907021369072482	-2.9158789451399367	-0.4542382454275362	-3.5776436574674726	-3.3909320200532975	-0.8384663020212932	1.0470504258161646
2'-O-methyladenosine	-2.3999852460123923	-1.7935569297121416	-2.1955938225346925	-1.9440613008820897	-1.8567301175437079	-2.0337083027388254	-1.5356904975766963	-0.9876511565621768	-2.1955828367301775	-1.4536532481853648	-2.3610919633274	-1.9725797892146617	-1.7022818366658234	0.23333728647741964
2-aminoadipate	0.0940130865355111	-0.5565919474092382	0.25336215197997203	0.8716721624010908	0.44332508822124783	0.7155689666315842	0.5993171587802084	-0.3804432879699646	0.1410816095373001	-0.5583098760556489	0.3025190842774741	0.9959751907921173	-0.960273360116195	1.7182336397652853
2-aminobutyrate	-1.276663077221642	-0.06006307255322074	-0.7638210876133111	-1.2905298785961172	-0.8219250343207305	-1.1817105314916838	-0.697606004634648	0.2621841342105242	-0.6416970849646193	-0.024680859998245097	-1.2338214924002386	-1.3689015401779252	-0.8201987701643367	-0.6419287267083313
2-aminoheptanoic acid	-3.618083455569803	-1.237713465495652	-3.0643348771463037	-3.627145500647649	-2.770653898826427	-3.541990166797414	-2.3381951287846414	0.040268051237976075	-2.8749939763262913	-0.7101500776452134	-3.705252709423224	-3.8346503329452717	-1.3398571981891272	-0.6531089598528319
2-deoxyadenosine	6.50160746429172	3.4984250512141397	5.610101445850965	6.0928063874425	5.098632222709993	6.0508592078385695	4.421624610007546	1.6637817180709942	5.404417774777482	2.7969649570245263	6.479496310130226	6.303961678948764	3.994801131918296	1.5288855703861564
2-deoxycytidine	2.6212603188590737	1.289945072632689	2.008227361140287	2.2985195135392997	1.8675560087570209	2.260274370696997	1.584670130766547	0.6155182974902824	1.9122255920324869	1.1198605028855126	2.5073839690450903	2.355962032311067	2.10301158645067	0.5594377656108223
2-hydroxy-3-methylbutyrate	-0.3238710988864999	0.2360678868204582	-0.028544201314851803	-0.3591660039099829	-0.12988172143937415	-0.2847674603027267	-0.11017403006035065	0.2703718344298196	0.0378250613089538	0.1789143514711249	-0.28711306109318	-0.3907031437643682	-0.3056070696023432	-0.3812219937342172
2-hydroxy-3-methylpentanoate	0.7014535508846573	1.394957086195928	0.9652310650760907	0.14914692353295034	0.5710221269621387	0.3562482398247203	0.37571577688923763	0.9546822503987606	1.0982595993165223	1.1313991163189918	0.6620535197589508	0.07678591515180197	0.7036234292305878	-1.3385261464009681
2-hydroxyglutarate	-0.8002908827884139	-0.6043919133526066	-0.7257172725916423	-1.0124363709570023	-0.8804713493340763	-0.93812378502339	-0.9626318575034001	-0.7909315441880505	-0.6806271224240558	-0.7073091998497372	-0.8218606003204441	-1.0378099181028895	-0.822393628816561	-1.635429642665566
2-hydroxyhexadecanoate	1.9919391855244934	-0.2739172441238491	1.3185807120489763	1.7701147013151608	0.9930385341424826	1.7139637725983934	0.5275108409881442	-1.5484325220059751	1.1530711617661011	-0.7509228786969935	1.980940394931359	1.9319963140989667	0.16412415781373868	-1.358702572207124
2-hydroxyibuprofen	-0.7970783195744642	0.09483885193370689	-0.39686880444105843	-0.6742729624367005	-0.36818934285594196	-0.6252037715161235	-0.21810899538024509	0.46268227030482234	-0.3206757780362086	0.1747909930974192	-0.7459771673125166	-0.7240886627735272	-0.44554465474140903	0.1918257622750778
2-hydroxyoctanoate	0.0035045256143475534	-0.43098350020271337	-0.10842670824770972	-0.7566306888996841	-0.6956002242360881	-0.5612072713453006	-1.1573559095389065	-1.5729180893560029	-0.05067057135954223	-0.9503528530149516	-0.06261817154754468	-0.7558460453606584	-0.8521316463206019	-4.004939726312613
21-deoxycortisol	-3.224972196715138	-1.3299456890004766	-2.725936444084934	-2.542641973324571	-2.057816504453485	-2.6525547233003777	-1.3834661932782966	0.4538420392721483	-2.6525080688487797	-0.5685309160412322	-3.2103549709930768	-2.672654729571106	-1.1379316691322336	2.097003680580252
3'-O-methyladenosine	2.043691432515508	0.32824499957627706	1.5542541282130797	2.258043405071704	1.5582140938613938	2.113768325693234	1.3939158610557942	-0.19374206092123877	1.3849863691112416	0.16914120787222942	2.076202783172091	2.3980838080861857	0.8508376279907837	1.19225703646647
