Eigvals	3
360.12315613666516	111.97574435134722	93.9495523593442

Proportion explained	3
0.8585597350852257	0.08300730957810984	0.0584329553366644

Species	398	3
UNKNOWN	-24.324843482463017	-1.1998685991892502	-4.198714468859152
g__Methanobrevibacter|s__Methanobrevibacter_smithii	-4.824940238462197	6.078438459432836	1.710321519045114
g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis	8.059130484255874	3.6919008219200693	9.024344028301234
g__Actinomyces|s__Actinomyces_europaeus	50.61816513696465	-4.284362209834551	1.5425698414783107
g__Actinomyces|s__Actinomyces_sp_HPA0247	-14.523745728023574	-10.90274621117756	8.02225883385321
g__Actinomyces|s__Actinomyces_sp_oral_taxon_181	33.29604876664918	6.9141706248245995	0.07671149275436999
g__Actinomyces|s__Actinomyces_turicensis	17.862087182710795	-3.737021794274428	2.965940963359907
g__Aeriscardovia|s__Aeriscardovia_aeriphila	1.145564371315606	6.233513429432148	1.389454688585235
g__Alloscardovia|s__Alloscardovia_omnicolens	-2.120444152164152	9.90341913150077	6.827151306744338
g__Bifidobacterium|s__Bifidobacterium_adolescentis	-5.011685711558085	1.4332640657104623	1.6898379323270898
g__Bifidobacterium|s__Bifidobacterium_angulatum	-6.398121812231187	1.3825114278842323	4.046660542449225
g__Bifidobacterium|s__Bifidobacterium_animalis	-3.352924462333528	-13.403489080774563	1.0606918440683561
g__Bifidobacterium|s__Bifidobacterium_asteroides	11.854349562150164	-5.612999953177721	9.275415965154913
g__Bifidobacterium|s__Bifidobacterium_bifidum	-12.35575809151064	-9.24627677075399	5.976499838040668
g__Bifidobacterium|s__Bifidobacterium_breve	-16.836086342866313	-8.347155549981872	0.13885288525414666
g__Bifidobacterium|s__Bifidobacterium_catenulatum	-22.752811457318664	-0.37911996286680305	2.163299521649419
g__Bifidobacterium|s__Bifidobacterium_dentium	-14.999009605713722	-2.7228359697596844	-0.8765443435151953
g__Bifidobacterium|s__Bifidobacterium_longum	32.0548475910358	10.015014498566472	-2.3416820521143267
g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	14.904357063498306	7.864556166959486	-4.896037895316912
g__Bifidobacterium|s__Bifidobacterium_pullorum	-5.664244238437388	-5.571401219307605	-8.722504670421046
g__Bifidobacterium|s__Bifidobacterium_saeculare	-4.323665376655707	-1.4132485842409668	2.752709733492859
g__Rothia|s__Rothia_mucilaginosa	-24.099318421086654	-2.3103510491960875	-8.043126132572228
g__Cutibacterium|s__Cutibacterium_acnes	20.6139076183975	-5.211847533048962	2.2088132366668627
g__Atopobium|s__Atopobium_deltae	21.43756696874473	4.816727729455037	0.8411612155241278
g__Olsenella|s__Olsenella_scatoligenes	15.356549501317513	-3.16969212834518	-10.30109075676464
g__Collinsella|s__Collinsella_aerofaciens	-17.197795805960705	1.0851117715287053	-0.05114589951430582
g__Collinsella|s__Collinsella_intestinalis	-9.856532945808366	4.566149995050199	6.318143010205075
g__Collinsella|s__Collinsella_stercoris	-3.26387077255189	5.54640113341322	5.353134919041635
g__Enorma|s__Enorma_massiliensis	17.992013889243957	8.912545873378075	0.3412433304625236
g__Enorma|s__[Collinsella]_massiliensis	-23.88543529132618	-11.240113313396307	5.480929160175483
g__Adlercreutzia|s__Adlercreutzia_equolifaciens	22.692011448424203	5.070243332578264	0.9949354127069714
g__Asaccharobacter|s__Asaccharobacter_celatus	13.061632214236566	4.066219847837881	3.555033363074969
g__Eggerthella|s__Eggerthella_lenta	10.213360024836888	4.232187452338853	5.897838165173234
g__Enterorhabdus|s__Enterorhabdus_caecimuris	-7.609470717555369	-0.09186785698583273	-4.550106758023198
